"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
1	0.804	0.644	0.811	0.752	0.622	0.516	0.614	0.584	0.622	0.511	0.64	0.526
201	0.921	0.294	0.871	0.303	0.857	0.937	0.897	0.931	0.857	0.94	0.901	0.958
3001	0.825	0.29	0.832	0.273	0.68	0.83	0.713	0.782	0.68	0.759	0.685	0.82
1801	0.901	0.755	0.881	0.762	0.714	0.891	0.713	0.865	0.714	0.881	0.716	0.856
401	0.776	0.42	0.758	0.366	0.736	0.862	0.731	0.893	0.736	0.878	0.717	0.899
2401	0.984	0.361	0.982	0.349	0.917	0.609	0.924	0.603	0.917	0.573	0.928	0.612
1001	0.716	0.919	0.764	0.923	0.716	0.749	0.735	0.772	0.716	0.743	0.746	0.776
2201	0.986	0.529	0.988	0.528	0.959	0.69	0.944	0.657	0.959	0.665	0.95	0.626
801	0.508	0.757	0.488	0.77	0.365	0.59	0.353	0.591	0.365	0.592	0.362	0.607
2001	0.668	0.711	0.617	0.751	0.481	0.178	0.463	0.218	0.481	0.187	0.479	0.181
2801	0.586	0.082	0.614	0.071	0.486	0.708	0.5	0.725	0.486	0.759	0.495	0.778
1201	0.286	0.271	0.287	0.28	0.235	0.024	0.231	0.031	0.235	0.026	0.213	0.022
2601	0.666	0.172	0.646	0.166	0.458	0.846	0.46	0.831	0.458	0.834	0.465	0.855
1401	0.808	0.755	0.784	0.678	0.537	0.575	0.533	0.608	0.537	0.536	0.536	0.556
3401	0.564	0.48	0.596	0.579	0.796	0.836	0.838	0.782	0.796	0.789	0.817	0.777
3201	0.886	0.777	0.903	0.8	0.511	0.445	0.531	0.404	0.511	0.483	0.549	0.425
1601	0.861	0.403	0.864	0.434	0.643	0.91	0.63	0.905	0.643	0.913	0.621	0.895
601	0.651	0.974	0.654	0.953	0.711	0.428	0.697	0.421	0.711	0.44	0.699	0.451
3601	0.881	0.511	0.885	0.377	0.88	0.978	0.903	0.983	0.88	0.977	0.902	0.969
2	0.569	0.35	0.61	0.361	0.744	0.831	0.751	0.806	0.744	0.805	0.744	0.818
202	0.926	0.866	0.924	0.846	0.705	0.738	0.687	0.748	0.705	0.754	0.687	0.75
1802	0.782	0.817	0.775	0.768	0.564	0.762	0.604	0.772	0.564	0.759	0.6	0.781
