"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
1517	0.84	0.678	0.828	0.782	0.6	0.732	0.646	0.724	0.672	0.774	0.634	0.738
1497	0.43	0.312	0.462	0.32	0.958	0.92	0.948	0.904	0.948	0.91	0.954	0.924
1501	0.662	0.948	0.666	0.938	0.714	0.848	0.714	0.79	0.712	0.794	0.738	0.786
1505	0.232	0.118	0.256	0.182	0.244	0.224	0.23	0.194	0.186	0.156	0.202	0.148
1509	0.61	0.85	0.668	0.938	0.958	0.922	0.94	0.926	0.928	0.944	0.948	0.928
1713	0.848	0.844	0.848	0.842	0.618	0.694	0.63	0.764	0.636	0.698	0.668	0.792
417	0.624	0.38	0.656	0.326	0.438	0.612	0.462	0.582	0.404	0.556	0.388	0.582
425	0.04	0.124	0.068	0.12	0.028	0.014	0.044	0.022	0.026	0.028	0.038	0.01
413	0.914	0.908	0.904	0.892	0.848	0.916	0.788	0.834	0.834	0.846	0.816	0.866
881	0.546	0.634	0.548	0.646	0.482	0.694	0.564	0.744	0.53	0.644	0.496	0.72
1721	0.362	0.162	0.398	0.108	0.408	0.11	0.43	0.092	0.376	0.172	0.35	0.132
1989	0.46	0.912	0.5	0.946	0.626	0.7	0.646	0.816	0.582	0.684	0.576	0.722
421	0.682	0.274	0.676	0.29	0.424	0.27	0.436	0.336	0.466	0.358	0.44	0.356
1885	0.256	0.308	0.288	0.28	0.262	0.356	0.244	0.398	0.2	0.326	0.228	0.344
1897	0.474	0.476	0.498	0.678	0.384	0.528	0.382	0.544	0.378	0.51	0.374	0.548
1513	0.85	0.924	0.884	0.938	0.722	0.48	0.724	0.404	0.762	0.518	0.708	0.362
433	0.626	0.288	0.64	0.276	0.488	0.066	0.47	0.046	0.458	0.058	0.494	0.046
777	0.692	0.816	0.714	0.838	0.568	0.598	0.534	0.598	0.554	0.648	0.548	0.532
