"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
333	0.664	0.834	0.67	0.866	0.406	0.274	0.372	0.192	0.406	0.192	0.37	0.25
297	0.356	0.266	0.324	0.308	0.15	0.002	0.16	0.006	0.15	0.012	0.198	0.006
113	0.198	0.148	0.272	0.168	0.69	0.186	0.732	0.138	0.69	0.17	0.752	0.13
225	0.294	0.404	0.324	0.42	0.196	0.072	0.202	0.032	0.196	0.066	0.198	0.032
141	0.54	0.336	0.558	0.404	0.256	0.026	0.272	0.02	0.256	0.02	0.288	0.026
341	0.338	0.48	0.344	0.338	0.458	0.224	0.416	0.266	0.458	0.268	0.446	0.178
53	0.736	0.338	0.774	0.57	0.622	0.188	0.532	0.138	0.622	0.094	0.582	0.116
365	0.256	0.57	0.194	0.582	0.11	0.138	0.106	0.136	0.11	0.086	0.09	0.098
153	0.212	0.686	0.244	0.498	0.21	0.054	0.208	0.11	0.21	0.058	0.218	0.068
145	0.294	0.624	0.32	0.918	0.202	0.088	0.206	0.078	0.202	0.044	0.228	0.078
253	0.922	0.974	0.912	0.96	0.834	0.888	0.83	0.924	0.834	0.928	0.824	0.914
325	0.248	0.174	0.21	0.336	0.122	0.074	0.136	0.106	0.122	0.108	0.11	0.064
205	0.892	0.958	0.876	0.882	0.61	0.088	0.608	0.118	0.61	0.152	0.59	0.138
309	0.884	0.954	0.918	0.986	0.844	0.25	0.802	0.252	0.844	0.348	0.81	0.276
293	0.504	0.48	0.446	0.494	0.228	0.026	0.262	0.042	0.228	0.03	0.236	0.068
9	0.938	0.814	0.94	0.71	0.834	0.474	0.844	0.51	0.834	0.498	0.852	0.534
73	0.488	0.894	0.562	0.938	0.882	0.626	0.906	0.676	0.882	0.658	0.868	0.652
133	0.068	0.548	0.088	0.598	0.042	0.084	0.052	0.062	0.042	0.078	0.04	0.046
377	0.572	0.482	0.578	0.67	0.352	0.13	0.3	0.114	0.352	0.092	0.308	0.106
389	0.184	0.602	0.152	0.482	0.096	0.036	0.102	0.058	0.096	0.036	0.086	0.062
129	0.63	0.758	0.646	0.538	0.53	0.256	0.552	0.26	0.53	0.292	0.596	0.334
273	0.6	0.482	0.572	0.634	0.496	0.09	0.446	0.12	0.496	0.088	0.46	0.102
217	0.166	0.216	0.184	0.152	0.07	0.014	0.094	0.026	0.07	0.006	0.082	0.02
77	0.178	0.11	0.164	0.11	0.092	0	0.12	0	0.092	0	0.084	0.002
369	0.282	0.47	0.31	0.42	0.13	0.08	0.152	0.122	0.13	0.04	0.122	0.062
81	0.244	0.182	0.222	0.146	0.128	0.006	0.13	0.002	0.128	0.002	0.14	0.01
125	0.642	0.84	0.628	0.67	0.558	0.572	0.586	0.606	0.558	0.572	0.57	0.586
85	0.338	0.48	0.386	0.562	0.48	0.188	0.47	0.274	0.48	0.256	0.442	0.26
277	0.468	0.286	0.466	0.824	0.432	0.036	0.46	0.082	0.432	0.098	0.474	0.082
233	0.784	0.692	0.782	0.548	0.474	0.09	0.526	0.124	0.474	0.12	0.516	0.104
381	0.24	0.962	0.248	0.94	0.158	0.104	0.164	0.088	0.158	0.096	0.158	0.098
357	0.112	0.554	0.108	0.65	0.064	0.198	0.066	0.204	0.064	0.196	0.072	0.224
249	0.328	0.308	0.33	0.316	0.562	0.148	0.558	0.138	0.562	0.104	0.57	0.094
89	0.79	0.554	0.836	0.726	0.536	0.058	0.514	0.078	0.536	0.082	0.476	0.082
97	0.51	0.102	0.51	0.118	0.318	0.01	0.354	0.002	0.318	0.004	0.328	0.008
185	0.352	0.202	0.33	0.264	0.22	0.01	0.196	0.008	0.22	0.004	0.186	0.004
221	0.442	0.348	0.442	0.464	0.404	0.056	0.358	0.044	0.404	0.022	0.386	0.044
201	0.022	0.024	0.022	0.054	0.014	0	0.01	0.002	0.014	0.002	0.018	0.004
209	0.504	0.936	0.518	0.938	0.78	0.44	0.778	0.462	0.78	0.406	0.75	0.496
