"run_ID"	"omni_mns_pvalue"	"omni_mns_stdpvalue"	"omni_mis_pvalue"	"omni_mis_stdpvalue"	"link_mns_pvalue"	"link_mns_stdpvalue"	"link_mis_pvalue"	"link_mis_stdpvalue"	"form_mns_pvalue"	"form_mns_stdpvalue"	"form_mis_pvalue"	"form_mis_stdpvalue"
393	0.896	0.24	0.868	0.25	0.836	0.524	0.826	0.52	0.836	0.554	0.844	0.498
337	0.606	0.624	0.656	0.718	0.28	0.55	0.33	0.482	0.28	0.374	0.338	0.574
365	0.38	0.784	0.402	0.68	0.182	0.13	0.212	0.18	0.182	0.13	0.212	0.104
193	0.578	0.32	0.536	0.282	0.964	0.994	0.958	0.986	0.964	0.978	0.964	0.984
377	0.908	0.474	0.944	0.45	0.644	0.43	0.642	0.56	0.644	0.42	0.64	0.518
57	0.828	0.63	0.84	0.594	0.49	0.43	0.504	0.446	0.49	0.478	0.508	0.502
357	0.886	0.64	0.926	0.692	0.892	0.906	0.88	0.912	0.892	0.906	0.872	0.866
329	0.676	0.268	0.544	0.4	0.548	0.722	0.546	0.658	0.548	0.736	0.532	0.716
1	0.828	0.922	0.776	0.698	0.574	0.182	0.592	0.276	0.574	0.204	0.554	0.18
129	0.972	0.272	0.956	0.324	0.882	0.994	0.906	0.994	0.882	0.992	0.912	0.994
321	0.814	0.244	0.77	0.234	0.792	0.472	0.83	0.5	0.792	0.452	0.792	0.434
301	0.536	0.486	0.502	0.47	0.506	0.626	0.508	0.674	0.506	0.71	0.47	0.574
121	0.868	0.942	0.936	0.782	0.636	0.888	0.618	0.86	0.636	0.846	0.626	0.878
361	0.79	0.848	0.806	0.68	0.756	0.35	0.766	0.42	0.756	0.356	0.752	0.42
369	0.756	0.254	0.772	0.148	0.574	0.392	0.534	0.36	0.574	0.432	0.548	0.436
189	0.374	0.284	0.394	0.32	0.152	0.28	0.186	0.342	0.152	0.278	0.162	0.254
373	0.932	0.658	0.926	0.598	0.674	0.69	0.706	0.742	0.674	0.694	0.68	0.716
317	0.934	0.328	0.952	0.434	0.822	0.944	0.832	0.954	0.822	0.946	0.84	0.946
9	0.716	0.446	0.742	0.522	0.484	0.714	0.476	0.752	0.484	0.79	0.51	0.78
105	0.65	0.96	0.73	0.914	0.416	0.676	0.404	0.63	0.416	0.69	0.452	0.728
29	0.302	0.026	0.26	0.096	0.362	0.364	0.338	0.42	0.362	0.412	0.322	0.358
165	0.306	0.388	0.336	0.332	0.358	0.206	0.382	0.176	0.358	0.234	0.364	0.26
177	0.866	0.932	0.884	0.92	0.57	0.268	0.63	0.37	0.57	0.288	0.634	0.39
273	0.916	0.824	0.902	0.902	0.74	0.84	0.776	0.862	0.74	0.868	0.77	0.822
497	0.934	0.504	0.922	0.466	0.556	0.042	0.636	0.086	0.556	0.05	0.628	0.05
249	0.91	0.856	0.908	0.8	0.814	0.876	0.85	0.91	0.814	0.848	0.83	0.892
37	0.596	0.92	0.672	0.874	0.394	0.58	0.384	0.572	0.394	0.624	0.402	0.622
153	0.14	0.232	0.138	0.498	0.298	0.454	0.256	0.466	0.298	0.558	0.278	0.552
85	0.994	0.51	0.996	0.522	0.994	0.76	0.99	0.744	0.994	0.744	0.996	0.788
397	0.36	0.52	0.41	0.548	0.204	0.43	0.208	0.438	0.204	0.408	0.212	0.432
169	0.888	0.934	0.878	0.936	0.656	0.792	0.66	0.792	0.656	0.774	0.678	0.82
209	0.636	0.96	0.738	0.9	0.296	0.26	0.39	0.402	0.296	0.378	0.348	0.418
269	0.886	0.768	0.882	0.698	0.692	0.8	0.684	0.796	0.692	0.764	0.73	0.856
185	0.804	0.918	0.842	0.936	0.532	0.852	0.522	0.838	0.532	0.862	0.552	0.868
657	0.844	0.228	0.848	0.242	0.57	0.07	0.614	0.078	0.57	0.058	0.598	0.112
485	0.522	0.292	0.5	0.238	0.506	0.344	0.584	0.25	0.506	0.306	0.55	0.24
481	0.014	0.132	0.014	0.154	0.026	0.052	0.024	0.03	0.026	0.042	0.02	0.036
53	0.828	0.354	0.794	0.366	0.87	0.858	0.834	0.77	0.87	0.77	0.862	0.766
289	0.984	0.546	0.952	0.598	0.924	0.96	0.868	0.94	0.924	0.97	0.894	0.936
389	0.836	0.96	0.828	0.97	0.79	0.948	0.802	0.964	0.79	0.94	0.772	0.936
